slang,formal
bermaksiyat,bermaksiat
bermnfaat,bermanfaat
berminggu2,berminggu minggu
bernada2,bernada nada
banagari,bernegara
bereukumene,beroikumene
beepegang,berpegang
berperngaruh,berpengaruh
berparti,berpesta
berfikirnya,berpikirnya
bersm,bersama
bersamaÃ¢Â erdogan,bersama erdogan
bersama2,bersama sama
bersamabn,bersamaan
bersebrangan,berseberangan
berseri2,berseri seri
bersihin,bersihkan
bersilaturrahmi,bersilaturahmi
bersosmed,bersosial media
bersukur,bersyukur
bertaun,bertahun
bertahun2,bertahun tahun
bertanggungjawab,bertanggung jawab
bertelor,bertelur
bertemen,berteman
bertentagan,bertentangan
berteriak2,berteriak teriak
bertaubat,bertobat
bertubi2,bertubi tubi
bertuhandijalanan,bertuhan di jalanan
berturut2,berturut turut
berub,berubah
bejo,beruntung
balga,besar
bbeuh,beuh
beh,beuh
baidab,biadab
bcranya,bicaranya
beer,bir
belangsak,blangsak
bcr,bocor
bahong,bohong
bbual,bual
bdk,budak
bdaya,budaya
bdya,budaya
bajet,budget
beautiful,cantik
beauty,cantik
balatak,kotor
bayanginnya,membayanginya
bataknese,orang batak
basically,pada dasarnya
banterin,percepat
bebs,sayang
before,sebelum
bcs,soalnya
because,soalnya
btp,ahok
buablas,bablas
bkipm,badan karantina ikan pengendalian mutu dan keamanan hasil perikanan
bnn,badan narkotika nasional
bnpt,badan nasional penanggulangan terorisme
bnp2tki,badan nasional penempatan dan perlindungan tenaga kerja indonesia
bnptki,badan nasional penempatan dan perlindungan tenaga kerja indonesia
bpip,badan pembinaan ideologi pancasila
bpom,badan pengawas obat dan makanan
bpjs,badan penyelenggara jaminan sosial
bpd,badan permusyawaratan desa
bps,badan pusat statistik
brsdmbermitra,badan riset dan sumber daya manusia kelautan dan perikanan bermitra
bsn,badan standarisasi nasional
bumdes,badan usaha milik desa
bumdesmendunia,badan usaha milik desa mendunia
bumn,badan usaha milik negara
bijimana,bagaimana
bgian,bagian
bgusan,bagusan
bhya,bahaya
buajingan,bajingan
bkalan,bakalan
bp3tki,balai pelayanan penempatan dan perlindungan tenaga kerja indonesia
blsin,balaskan
bnd,band
bijb,bandara internasional jawa barat
bgts,banget
bgtxx,banget
bigtits,banget
bwangeeuut,banget
bgsa,bangsa
bngs,bangsa
bgsd,bangsat
bgstt,bangsat
bngsat,bangsat
bngst,bangsat
bnajarmasin,banjarmasin
bni,bank negara indonesia
bri,bank rakyat indonesia
brisyariah,bank rakyat indonesia syariah
blt,bantuan langsung tunai
blbi,bantuan likuiditas bank indonesia
buanyak,banyak
bnyakn,banyakan
bpknyalah,bapaknyalah
brng,barang
brgkali,barangkali
betmen,batman
bouksid,bauksit
bwang,bawang
brb,be right back
besmart,be smart
bsbi2018,beasiswa seni dan budaya indonesia 2018
beza,beda
bgittu,begitu
bgthu,begitu
bigitu,begitu
blegitu,begitu
bwgitu,begitu
blkgnya,belakangnya
blang,belang
blatung,belatung
bulepotan,belepotan
brli,beli
bloonnya,beloonnya
bwos,beos
brangkt,berangkat
brngkat,berangkat
brni,berani
braninya,beraninya
brati,berarti
brti,berarti
brasal,berasal
brbagai,berbagai
brbeda,berbeda
brdekatan,berdekatan
brdoa,berdoa
brengset,berengsek
brngsekk,berengsek
brngsk,berengsek
brengseknya,berengseknya
bewokan,berewokan
brewokan,berewokan
brharga,berharga
bhasil,berhasil
brent,berhenti
brnti,berhenti
brisek,berisik
briziek,berisik
brkata,berkata
brkedok,berkedok
classy,berkelas
chatan,berkirim chat
brkoalisi,berkoalisi
brkuasa,berkuasa
branded,bermerek
brniat,berniat
brondong,berondong
brondonglokal,berondong lokal
brfikir,berpikir
brpkir,berpikir
brtahun,bertahun
brtemu,bertemu
brtopeng,bertopeng
betopi,bertopi
beurang,beruang
berulang2,berulang ulang
brunsur,berunsur
brupaya,berupaya
beurat,berurat
brushalah,berusahalah
brwajah,berwajah
besarr,besar
big,besar
bssar,besar
besarx,besarnya
bsrta,beserta
besok2,besok besok
besok2nya,besok besoknya
bff,best friend forever
betoi,betul
betol,betul
betoll,betul
betui,betul
betull,betul
betullah,betul
botul,betul
betol2,betul betul
beyondthebandungspirit,beyond the bandung spirit
bhabinkamtibmas,bhayangkara pembina keamanan dan ketertiban masyarakat
biadaa,biadab
biadap,biadab
biangnya,biangnya
biased,bias
biasain,biasakan
biasay,biasanya
bicarapolitik,bicara politik
bicarain,bicarakan
bigfloo,bigflo
bijakberpendapat,bijak berpendapat
bikini2,bikini bikini
bikhsu,biksu
bile,bila
bilank,bilang
blgnya,bilangnya
bimas,bima
binadamai,bina damai
binluh,binaan dan penyuluhan
binmas,binaan masyarakat
binatang2,binatang binatang
bhineka,bineka
bhinekais,bineka
biruadanya,biru adanya
biru2,biru biru
bismaniac,bis maniak
bisa2,bisa bisa
bisa2nya,bisa bisanya
bisaÃ¢Â mematikan,bisa mematikan
bisex,bisexual
bismillahirrohmannirohhim,bismillahirrahmanirrahim
blaa,bla
bla2,bla bla
blabla,bla bla
blablabla,bla bla bla
blackbuttler,black buttler
blejetin,blejeti
block,blok
block2,blok blok
blocked,blokir
blondecum,blonde cum
blusukanahok,blusukan ahok
bmÃ¢,bm
bocahh,bocah
bocah2,bocah bocah
bocil,bocah cilik
borot,bocor
boloho,bodoh
bodoh2in,bodoh bodohi
bodohie,bodohi
bodong2an,bodong bodongan
bmi,body mass index
boongan,bohongan
bohongin,bohongi
boongin,bohongi
boikotindosat,boikot indosat
boycottisrael,boikot israel
boikotprodukchina,boikot produk cina
bokef,bokep
bokepabg,bokep anak baru gede
bokepasia,bokep asia
bokepasian,bokep asia
bokepbarat,bokep barat
bokepgratis,bokep gratis
bokephot,bokep hot
bokepindo,bokep indo
bokeponline,bokep online
bokepsma,bokep sma
bokepterb,bokep terbaru
buleh,boleh
bolong2,bolong bolong
bill,bon
bongsay,bonsai
boking,booking
borax,boraks
btob,born to beat
bosq,bosku
bosque,bosku
bosnyo,bosnya
botzidancreative,bot zidan creative
bny,bothnewyear
botolkosong,botol kosong
bovendigul,boven digoel
brÃ°,bra
bravohasanah,bravo hasanah
bravopolri,bravo kepolisian republik indonesia
breakingnewssektorriil,breaking news sektor riil
breathe,breath
brimob,brigade mobil
brumob,brigade mobil
brigpol,brigadir polisi
bripka,brigadir polisi kepala
brightside,bright side
brillian,brilian
br1m,brim
bray,bro
broo,bro
brooh,bro
browh,bro
bry,bro
brosing,browsing
brussels,brussel
bpi,bsm pembayaran instusi
busukmawati,bu sukmawati
buah2an,buah buahan
buang2,buang buang
buangtabiat,buang tabiat
buwat,buat
buat2,buat buat
bikinan,buatan
bikinnya,buatannya
bubarkandpr,bubarkan dewan perwakilan rakyat
bubarkangmbi,bubarkan gerakan masyarakat bawah indonesia
bubarkanpks,bubarkan partai keadilan sejahtera
burjo,bubur kacang ijo
budak2,budak budak
budak2nya,budak budaknya
bucin,budak cinta
bucinnya,budak cintanya
budayaÃ¢,budaya
budayaÃ°,budaya
budayaÃ¢Â pancasila,budaya pancasila
budha,buddha
budhaisme,buddhaisme
budeh,bude
budeg,budek
budisepang,budi sepang
budugan,budukan
buhaerah,buhaira
buihh,buih
bukber,buka bersama
bikan,bukan
bukann,bukan
bukhan,bukan
bukan2,bukan bukan
bukanbukan,bukan bukan
bukansamawi,bukan samawi
bknlah,bukanlah
buktik,bukti
buktikn,buktikan
buuktikan,buktikan
buku2,buku buku
bukugpu,buku gpu
bulaann,bulan
bulanbaktikipm2018,bulan bakti kipm 2018
buli,bully
blukk,buluk
buluq,buluk
bumbuin,bumbui
buminusantara,bumi nusantara
bundokandung,bunda kandung
bungkarno,bung karno
bunggus,bungkus
bundir,bunuh diri
bunyi2,bunyi bunyi
buraq,burak
buroq,burak
buritt,burit
burqa,burka
buru2,buru buru
burukÃ¢,buruk
birds,burung
busa2,busa busa
buseet,buset
bosok,busuk
busukk,busuk
busuk2,busuk busuk
butuhan,butuhkan
btw,by the way
cabecabeaan,cabe cabean
cabutnobelsuukyi,cabut nobel suu kyi
cacad,cacat
ccd,cacat
ceced,cacat
cacimaki,caci maki
cagarÃ¢Â budaya,cagar budaya
cakimin,cak imin
cakiminthenextwapres,cak imin the next wakil presiden
cakiminthenextwaprescak,cak imin the next wakil presiden cak
cakep2,cakap cakap
cagub,calon gubernur
cakada,calon kepala daerah
caleg,calon legislatif
capres,calon presiden
capresgoblok,calon presiden goblok
capresrakyat,calon presiden rakyat
capresnya,calon presidennya
cawagub,calon wakil gubernur
cawgub,calon wakil gubernur
cawapres,calon wakil presiden
cawapres2019,calon wakil presiden 2019
cawapresnya,calon wakil presidennya
calonwalikotabandung,calon wali kota bandung
calonwalikotabandung2018,calon wali kota bandung 2018
calonin,calonkan
cemilan,camilan
cemilanku,camilanku
cemilannya,camilannya
campur2,campur campur
cantuk,cantik
capeq,capai
cape2,capai capai
capeknya,capainya
capenya,capainya
cfd,car free day
cara2,cara cara
charanya,caranya
capernya,cari perhatiannya
carsen,cari sensasi
catetan,catatan
bongg,cebong
cebon,cebong
cebonk,cebong
cebong2,cebong cebong
bong200,cebong iq dua ratus
cebongkoplo,cebong koplo
cebongers,cebonger
ceburin,ceburkan
cecungung,cecunguk
cegan,cegah
cengkraman,cengkeraman
cept,cepat
cepet2an,cepat cepatan
cepetin,cepatkan
cepetlah,cepatlah
cepusupriyanto,cepu supriyanto
cerita2,cerita cerita
ceritadewasa,cerita dewasa
ceritain,ceritakan
ceritany,ceritanya
cecann,cewek cantik
cewe2,cewek cewek
cewek2,cewek cewek
cewekseksi,cewek seksi
cewenya,ceweknya
chaink,chain
ch,chapter
chaarrmm,charm
chatsex,chat sex
cekidot,check it out
celsi,chelsea
choicefandom,choice fandom
chouji,choji
choper,chopper
chubbyguy,chubby guy
ciamisasyik,ciamis asyik
cihh,cih
ciy,cih
ciletuhÃ¢Â palabuhanratu,ciletuh pelabuhan ratu
cimohay,cimahi
china,cina
chinese,cina
cina2,cina cina
cino2,cina cina
chinese2nya,cina cinanya
cipkon,cipokan
cirebonseni,cirebon seni
ciri2,ciri ciri
ciribkhas,ciri khas
cita2nya,cita citanya
citanya,citanya
cnnindonesia,cnn indonesia
cnnidbusiness,cnn indonesian business
cnnidnewsroom,cnn indonesian news room
cobaak,coba
coba2,coba coba
cocok2,cocok cocok
cocoklogi,cocokologi
cocotnx,cocotnya
coffe,coffee
cokiadem86,coki adem 86
colmek,colok memek
colokmemek,colok memek
colokkan,colokan
comando,commando
cmiiw,correct me if i am wrong
cogant,cowok ganteng
brainwash,cuci otak
coeg,cuk
cikai,cukai
blacklist,daftar hitam
cedak,dekat
bibib,habib
bhahahaha,haha
bhahahahahahaa,haha
bhahahahak,haha
bhuakakakaka,haha
brahahahaa,haha
buahahaha,haha
buuwhaha,haha
bwahaha,haha
bwahahahhahha,haha
bwahahhahaha,haha
buntingnya,hamilnya
bondo,harta
bzz,hem
bible,injil
bininya,istrinya
ciah,jiah
calculus,kalkulus
campaign,kampanye
campus,kampus
campuss,kampus
bikos,karena
cillik,kecil
claim,klaim
clasic,klasik
comment,komen
camtu,macam itu
ceu,mbak
blendung,melendung
cengkudu,mengkudu
brand,merek
brandnya,mereknya
bilion,miliar
bodat,monyet
coach,pelatih
blas,sama sekali
blass,sama sekali
cageur,sehat
cembilan,sembilan
centra2,sentra sentra
cepi,sepi
cetan,setan
cekcih,sexy
cipp,sip
cipiit,sipit
beye,susilo bambang yudhoyono
beuh,weh
beuhh,weh
boakaka,wkwk
brekekekekek,wkwk
brekekekekekek,wkwk
bruakakakak,wkwk
ckakakakak,wkwk
ckckc,wkwk
ckckck,wkwk
ckckckck,wkwk
dedeq,adik
debaynya,adik bayinya
densus,betasemen khusus
cpns,calon pegawai negeri sipil
cramah,ceramah
crita,cerita
crta,cerita
critanya,ceritanya
cyduk,ciduk
cuih,cih
cuihh,cih
cuyih,cih
cuihwoosoeokjung,cih wooseok jung
cyinta,cinta
cyn,cinta
comunity,community
congornyapecah,congornya pecah
congrat,congratulation
congratulationsgeoparkciletuh,congratulations geopark ciletuh
cp,contact person
conth,contoh
contoilah,contohilah
copotkapoldajabar,copot kepala polisi daerah jawa barat
copas,copy paste
cowo2,cowok cowok
cowok2,cowok cowok
cowonya,cowoknya
cuuyy,coy
cuy,coy
cpugg,cpu gg
cringey,cringe
cr,cristiano ronaldo
cr7,cristiano ronaldo
croot,crot
croott,crot
crott,crot
cruz,crush
cuap2,cuap cuap
cuapcuap,cuap cuap
cuwit,cuit
cuit2,cuit cuit
cukk,cuk
cukop,cukup
cukupsatuperiode,cukup satu periode
cume,Cuma
cumabercandagaiss,cuma bercanda guys
cumi2,cumi cumi
cupuu,cupu
curcol,curhat colongan
curut2,curut curut
cutepasutri,cute pasangat suami istri
cyberarmy,cyber army
daddies,daddy
daerahÃ¢,daerah
daerah2,daerah daerah
daerahdki,daerah jakarta
dapil,daerah pemilihan
dapil1,daerah pemilihan
daghh,dah
dhla,dahlan
dahsyat2,dahsyat dahsyat
dahulukanrakyat,dahulukan rakyat
dalm,dalam
daleman,dalaman
dalemnya,dalamnya
dalang2nya,dalang dalangnya
damaidaricirebon,damai dari cirebon
danÃ¢,dan
danhatikecilkubicara,dan hati kecilku bicara
danainvestorasing,dana investor asing
danÃ¢Â sosial,dana sosial
danÃ¢Â wajah,dana wajah
danain,danai
dananyo,dananya
danibawa,dani bawa
dapurr,dapur
darimana,dari mana
darimna,dari mana
daritadi,dari tadi
darkside,dark side
dharma,darma
dharna,darma
darulaman,darul aman
daruratdemokrasi,darurat demokrasi
daruratduniaperadilanindonesia,darurat dunia peradilan indonesia
daruratpki,darurat partai komunis indonesia
dasarr,dasar
dasr,dasar
dasadasar,dasar dasar
data2,data data
dfd,data flow diagram
datangg,datang
datoÃ¢,datu
day6,day 6
daiyaku,dayaku
dbodohi,dbodohi
deathnote,death note
debad,debat
debatfinalpilkadajkt,debat final pemilihan kepala daerah jakarta
difensif,defensif
dgan,degan
dekalarasi,deklarasi
delici,delicious
deliveringhappiness,delivering happiness
demoo,demo
demo2,demo demo
democra,demokrasi
demokrasiÃ¢,demokrasi
denga,dengan
denngan,dengan
dgnya,dengannya
denger2,dengar dengar
dengernya,dengarnya
depkes,departemen kesehatan
desa2,desa desa
detik2,detik detik
detik2terahir,detik detik terakhir
debatfinaldki,devat final daerah khusus ibukota
diatas,di atas
diawal,di awal
dibandara,di bandara
dibank,di bank
dibatas,di batas
dibawah,di bawah
dibelakang,di belakang
diblkg,di belakang
dbogor,di bogor
dibui,di bui
dibumi,di bumi
dicomberan,di comberan
didaerah,di daerah
didaerah2,di daerah daerah
didalam,di dalam
didlm,di dalam
didanau,di danau
didarat,di darat
didepan,di depan
didragon,di dragon
didunia,di dunia
didumay,di dunia maya
diera,di era
digarasi,di garasi
digereja,di gereja
dihalaman,di halaman
dihalte,di halte
dihatiku,di hatiku
dihutan,di hutan
diindonesia,di indonesia
dijakarta,di jakarta
dijalan,di jalan
dijidat,di jidat
dikamar,di kamar
dikampung,di kampung
dikantor,di kantor
dikarang,di karang
dikasus,di kasus
dikedua,di kedua
dikoter,di kelompok terbang
dikolam,di kolam
dikolong,di kolong
dikotak,di kotak
diÃ¢Â tmii,di taman mini indonesia indah
dijaman,di zaman
die2,dia dia
diakuin,diakui
dialog2,dialog dialog
diam2,diam diam
diem2an,diam diaman
diamlo,diam lu
diemlu,diam lu
diamanin,diamankan
diancem,diancam
dianggsp,dianggap
dantaranya,diantaranya
dbhas,dibahas
dibales,dibalas
dibnding,dibanding
dibangga2kan,dibangga banggakan
dibangkitin,dibangkitkan
dibangunin,dibangunkan
dibatalin,dibatalkan
dibayarin,dibayari
dibecandain,dibecandai
dibelain,dibela
dibelanje,dibelanja
dibeliin,dibelikan
dibenerin,dibenarkan
diberanguss,diberangus
dibercandain,dibercandai
diberhentiin,diberhentikan
diberitain,diberitakan
dbsk,dibesuk
dibicarain,dibicarakan
dbilang,dibilang
diblng,dibilang
dibilangin,dibilangi
dibimbin,dibimbing
diblock,diblok
dibocorin,dibocorkan
dibodo,dibodohi
dibodoh,dibodohi
diapusi,dibohongi
dibikin,dibuat
dibikinin,dibuatkan
dibikinkan,dibuatkan
dibubari,dibubarkan
dibubarin,dibubarkan
dibucinin,dibudakcintakan
dibunderi,dibundari
dbunuh,dibunuh
dibutuhkn,dibutuhkan
dicapreskan,dicalonpresidenkan
dicarin,dicari
dicekel,dicekal
dicemburuin,dicemburui
dicengkram,dicengkeram
dicepetin,dicepatkan
diceramahin,dicerahami
diceritain,diceritakan
diciumin,diciumi
dicroottin,dicrotin
dicrotin,dicrotin
ddahului,didahului
didlmnya,didalamnya
didpt,didapat
didptkn,didapatkan
didasrkan,didasarkan
didudukin,diduduki
dduga,diduga
dienyek,diejek
di3nth0t,dientot
dientotin,dientot
dietot,dientot
diewe,dientot
dikentu,dientot
digebukin,digebuki
digedein,digedekan
digentayangin,digentayangi
digrebek,digerebek
digreja,digereja
dijit,digit
dgnakan,digunakan
dgunakan,digunakan
digunakn,digunakan
digusur2,digusur gusur
dihadapai,dihadapi
dihantem,dihantam
diapusin,dihapusi
dihebohin,dihebohkan
dihina2,dihina hina
diitung,dihitung
diizabah,diijabah
diiket,diikat
diikutin,diikuti
diendahkan,diindahkan
diingatin,diingatkan
diingatkn,diingatkan
diingini,diinginkan
diinjek,diinjak
diijinkan,diizinkan
dijagain,dijaga
dijaj,dijajah
dijalanin,dijalani
dijelek2in,dijelek jelekkan
dijualin,dijual
dikobul,dikabul
dikacangin,dikacangi
dikadalin,dikadali
dikasi,dikasih
dikasianin,dikasihani
dianjingin,dikatai anjing
dikawalselia,dikawal selia
dikejar2,dikejar kejar
dikeluarin,dikeluarkan
dibalikin,dikembalikan
dikembalikannyaÃ¢,dikembalikannya
diketekin,diketeki
dikuatirkan,dikhawatirkan
dihianati,dikhianati
dikususkan,dikhususkan
dikibulin,dikibuli
dikipasin,dikipasi
diclaim,diklaim
dicodein,dikode
diconfirm,dikonfirmasi
dikuliahin,dikuliahi
dilabelin,dilabeli
dibriefing,dipengarahan
depermasalahkan,dipermasalahkan
dbdshow,dirtbag dan show
digundrung,dirundung
deskriminasi,diskriminasi
didownload,diunduh
daiping,diving
devisi,divisi
dfact,fact
dich,ih
dih,ih
dadio,jadilah
dancok,jancuk
diiah,jiah
cool,keren
cool2,keren keren
construction,konstruksi
contactnya,kontaknya
croatia,kroasia
cuwat,kuat
deui,lagi
delok,lihat
confusius,membingungkan
countrynya,negaranya
cunihin,penggoda
dawuh,perintah
dawuh2,perintah perintah
cyg,sayang
dikit2,sedikit sedikit
dewek,sendiri
cz,soalnya
contekan,sontekan
demennya,sukanya
cumpah,sumpah
dholim,zalim
dholimi,zalimi
duch,aduh
edvan,advance
ekeu,aku
dm2an,berbalas pesan
djan,bermain disc jockey
ebong,cebong
ebonk,cebong
ebonger,cebonger
dki,daerah khusus ibukota
dki1,daerah khusus ibukota 1
dmai,damai
dkk,dan kawan kawan
dll,dan lain lain
dlsb,dan lain sebagainya
dsbnya,dan sebagainya
dstnya,dan seterusnya
dpat,dapat
dpatkan,dapatkan
drp,daripada
drprd,daripada
dpp,dasar pengenaan pajak
dsrnya,dasarnya
dtr,datar
dtik,detik
dkm,dewan kemakmuran masjid
dmi,dewan masjid indonesia
dpd,dewan perwakilan daerah
dpr,dewan perwakilan rakyat
dprd,dewan perwakilan rakyat daerah
dprdnya,dewan perwakilan rakyat daerahnya
dpc,dewan pimpinan cabang
dkuburan,di kuburan
dilock,di kunci
dilaut,di laut
diprotect,di lindungi
dilokalisasi,di lokalisasi
diluar,di luar
dimall,di mal
dimalaysia,di malaysia
dimasa,di masa
dimasyarakat,di masyarakat
dimedan,di medan
disosmed,di media sosial
dimeki,di memek
dimonas,di monas
dimuka,di muka
dinegara,di negara
dinegeri,di negeri
diorang,di orang
diorganisasi,di organisasi
diormas,di organisasi masyarakat
dipagi,di pagi
dipantat,di pantat
dipenjara,di penjara
dipenjaranya,di penjaranya
diperkampungan,di perkampungan
diradio,di radio
direzim,di rezim
dirohingnya,di rohingya
dirumah,di rumah
disa,di saat
disaat,di saat
disana,di sana
disebelah,di sebelah
disebuah,di sebuah
disekte,di sekte
disemua,di semua
disepakbola,di sepak bola
disimpang,di simpang
disini,di sini
disiniÃ°,di sini
disinii,di sini
disisa,di sisa
disisi,di sisi
disitu,di situ
disolo,di solo
distudio,di studio
disuatu,di suatu
disukmaku,di sukmaku
ditahun,di tahun
dtahun,di tahun
ditanah,di tanah
ditnh,di tanah
ditanda,di tanda
ditangang,di tangan
ditelaga,di telaga
ditvn,di televisi nasional
dtgah,di tengah
ditepi,di tepi
diupi,di universitas pendidikan indonesia
diwilayah,di wilayah
dipasihan,diberi
dipacking,dibungkus
disepongin,diciumi
dyk,did you know
dirasisin,diejek
dimaui,diinginkan
dkasih,dikasih
ditaktor,diktator
dilakuin,dilakukan
dlkukan,dilakukan
dilakuinnya,dilakukannya
dylan,dilan
dilanti,dilantik
dilaporin,dilaporkan
dilanrang,dilarang
dilar,dilarang
dilati,dilatih
dilayan,dilayani
dilayanin,dilayani
dilepasin,dilepaskan
diskip,dilewati
diliatin,dilihat
dilupain,dilupakan
dimain,dimainkan
dimaini,dimainkan
dimainin,dimainkan
dimaki2,dimaki maki
dimaklumin,dimaklumkan
dimampusin,dimampuskan
dimana2,dimana mana
dimanfaatin,dimanfaatkan
dimanjain,dimanjakan
dimarahinn,dimarahi
dimarain,dimarahi
dimasukkin,dimasuki
dingertiin,dimengerti
dimintain,dimintai
dilepeh,dimuntahkan
dinamani,dinamai
dinantikanÃ¢,dinantikan
dpmptsp,dinas penanaman modal dan pelayanan terpadu satu pintu
dinihari,dini hari
dinyinyirin,dinyinyiri
diubati,diobati
diobok2,diobok obok
diomongin,diomongi
dipakenya,dipakainya
dipamerin,dipameri
diparkirin,diparkirkan
dipasangan,dipasangkan
dipasangin,dipasangkan
diphk,dipecat
dipeluhara,dipelihara
dipiara,dipelihara
dipilpres,dipemilihan presiden
dpenuhi,dipenuhi
dipaelokan,diperbaiki
dpercaya,dipercaya
dipercayain,dipercayai
diperhatiin,diperhatikan
diperhatika,diperhatikan
dperhatikan,diperhatikan
diperingatin,diperingatkan
dwelling,diperingatkan
diprakirakan,diperkirakan
diperlakuin,diperlakukan
dimasalahkan,dipermasalahkan
dipersilahkan,dipersilakan
diperasulit,dipersulit
dprtmbngk,dipertimbangkan
dpkir,dipikir
dipilihÃ¢Â dprd,dipilih aja daripada
dipimpinulama,dipimpin ulama
dipindahin,dipindahkan
diplomasipublik,diplomasi publik
diporakporandakan,diporakporandakan
diprovo,diprovokasi
dipukulin,dipukuli
dipulangin,dipulangkan
diputer,diputar
diracuni,diracun
direjam,dirajam
direcokin,direcoki
dm,direct message
dmcin,direct message sis
dirakamkan,direkamkan
ditjen,direktorat jenderal
djp,direktorat jenderal pajak
ditreskrimum,direktorat reserse kriminal umum
dirjen,direktur jenderal
dirut,direktur utama
diremes,diremas
direncanain,direncanakan
diritwit,diretweet
dirp,diri
diributin,diributkan
drmu,dirimu
diringkes,diringkas
dirmanida,dirman ida
dirmannaikganjarpanik,dirman naik ganjar panik
dsnajib,dis najib
disalty,disabilitas
disadarin,disadarkan
disah,disahkan
disakitin,disakiti
disalh,disalah
disalahin,disalahkan
disholatin,disalati
disam,disama
disama2kan,disama samakan
disamain,disamakan
dismain,disamakan
disatuin,disatukan
dj,disc jockey
disebarin,disebarkan
dishare,disebarkan
disebutin,disebutkan
disekolahin,disekolahkan
disela2,disela sela
dselidiki,diselidiki
diumpetin,disembunyikan
dimute,disenyapkan
disenyumin,disenyumi
disruduk,diseruduk
dstiap,disetiap
disiapin,disiapkan
disinisin,disinisi
disipitin,disipitkan
disiramin,disirami
diskon2,diskon diskon
diskrening,diskrining
dis,diskualifikasi
diskusikde,diskusi
disodorin,disodorkan
diplay,display
district9,district
dilike,disukai
disukain,disukai
dsusul,disusul
ditabayunin,ditabayuni
ditampol,ditabok
ditambah2i,ditambah tambahkan
ditanggapin,ditanggapi
ditanggepi,ditanggapi
ditanggepin,ditanggapi
ditangkapin,ditangkap
ditangkp,ditangkap
ditaroin,ditaruhkan
ditawarin,ditawari
ditegor,ditegur
ditelpon,ditelepon
ditempatin,ditempatkan
ditemuin,ditemukan
ditenggelamin,ditenggelamkan
diterapin,diterapkan
diterapkanÃ¢,diterapkan
diteriakin,diteriaki
dterima,diterima
dtrma,diterima
ditetapkn,ditetapkan
ditidurin,ditiduri
ditinggalin,ditinggalkan
diupgrade,ditingkatkan
ditolerir,ditoleransi
dtuduh,dituduh
dtukarkn,ditukarkan
ditungguin,ditunggu
dirubah,diubah
dirubh,diubah
drobah,diubah
diulang2,diulang ulang
diungkit2,diungkit ungkit
diushakan,diusahakan
diusilin,diusili
diutarain,diutarakan
diwajibin,diwajibkan
dwaspadai,diwaspadai
djarotcalonnapi,djarot calon narapidana
djarotsihar2,djarot sihar 2
djarotsiharmenang,djarot sihar menang
dnnya,dnanya
dinungo,doa
dodigiri4sumsel,dodi giri 4 sumatera selatan
doesn,does not
dog,dog
dorg,dog
dogfighting,dog fighting
doiÃ°,doi
doido,doi
dokter2,dokter dokter
dokter2nya,dokter dokternya
dra,doktoranda
drs,doktorandes
doktrin2,doktrin doktrin
dollar,dolar
dool,doll
domba2,domba domba
donal,donald
donkz,dong
dunn,dong
dongo,dongok
dongokk,dongok
dongoo,dongok
dongook,dongok
dongoin,dongokkan
donii,doni
donordarah,donor darah
doronguntuk,dorong untuk
dosa2,dosa dosa
dosadosa,dosa dosa
doublefuck,double fuck
doer,dower
dramaahokdikriminalisasi,drama ahok dikriminalisasi
drakor,drama korea
drifit,dri fit
duaÃ¢,dua
dua2,dua dua
duduk2,duduk duduk
dudukin,duduki
dkung,dukung
dukuung,dukung
dukung2,dukung dukung
dukungsidangistimewampr,dukung sidang istimewa majelis permusyawaratan rakyat
dluu,dulu
dolo,dulu
dulu2,dulu dulu
duluin,dulukan
dlulah,dululah
dumxcamping,dum camping
dumbception,dumb ception
dunguÃ¢,dungu
dungu2periode,dungu dua periode
dunyo,dunia
dumay,dunia maya
dunningkrugereffect,dunning kruger effect
dustakaan,dustakan
dubes,duta besar
eaa,eak
eaak,eak
eaakk,eak
eeaa,eak
ehak,eak
ecehh,ececeh
ecek2,ecek ecek
edann,edan
eds,edisi
edotensei,edo tensei
efec,efek
efekbacaberita,efek baca berita
effektif,efektif
egoism,egoisme
eeh,eh
eanjink,eh anjing
eastaga,eh astaga
egataunye,eh enggak taunya
eemelawan,eh melawan
eifell,eiffel
eittss,eits
ekjayati,ekajati
economic,ekonomi
economics,ekonomi
economy,ekonomi
ekonomiÃ¢,ekonomi
egp,emang gue pikir
dunno,enggak tau
eheh,hehe
ehehe,hehe
eheheh,hehe
ehhe,hehe
eehm,hem
ehem,hem
eeyeww,iyuh
djiaa,jiah
djoss,keren
ebih,lebih
dimples,lesung pipi
eii,oi
editing,pengeditan
dklovers,penggemar dk
disbitch,perek
dlongap,plonga
dlongop,plongo
drivernya,sopirnya
ee,tai
eek,tai
eeq,tai
download,unduh
dzalim,zalim
dzholimnya,zalimnya
dzat,zat
dzikir,zikir
event2,acara acara
eventnya,acaranya
elah,alah
elaj,alah
enjing,anjing
geni,api
eyo,ayo
gemana,bagaimana
gima,bagaimana
gimame,bagaimana
gmni,bagaimana nih
gimanasi,bagaimana sih
gmnsi,bagaimana sih
ginich,begini
gini2,begini begini
ginilah,beginilah
getoo,begitu
gt2,begitu begitu
gtuan,begituan
gsnya,bintang tamunya
foong,bohong
form,borang
formnya,borangnya
fakuy,cihui
getih,darah
erau,derau
ekonomiri,ekonomi
ekosistim,ekosistem
ekotrenganjaryasinno1,ekotren ganjar yasin no 1
exis,eksis
exist,eksis
eksklusifitas,eksklusivitas
